deployer,total_tokens,rugged,honeypots,successful,avg_lifespan_hours,success_rate,rug_rate,score,first_seen_block,last_seen_block
0x3e2b233807d97d85ac48e32ec2d20809a5e60f5a,1,0,0,0,0.0,0.0,0.0,0.0,88371742,88371742
0x3e3fcda23854ff6aa1e4e479942f7697cc523800,1,0,0,0,0.0,0.0,0.0,0.0,89173494,89173494
0x3fcdb409bfcdfc73f854a72a378acec27d10ec99,1,0,0,0,0.0,0.0,0.0,0.0,87087726,87087726
0x404901041cc0521f02e48d1368ca30d71ec2adaf,1,0,0,0,0.0,0.0,0.0,0.0,86947404,86947404
0x404cb206f6f8ce00407f3a52e11aa83fb2f7a6b8,1,0,0,0,0.0,0.0,0.0,0.0,89232327,89232327
0x407564c62069d23ab4b7eed3422719370a13d120,1,0,0,0,0.0,0.0,0.0,0.0,87703278,87703278
0x40eeaefdfc659281144984cd87ae7210b8b5dfe2,15,1,0,0,0.0,0.0,0.066667,4.4856,87220492,88410261
0x4112f8c5f8e9261c885744569b3df907a80e373f,1,0,0,0,0.0,0.0,0.0,0.0,88471681,88471681
0x41df8fed9a495f3f781cd6501a25af1b482bbc39,1,0,0,1,0.0,1.0,0.0,42.0,87639887,87639887
0x43150a811cc71eed1594ba5c18a6693598d0040b,1,0,0,0,0.0,0.0,0.0,0.0,88176509,88176509
0x43229f616770a3dc08f23671a5f3e723adcbe184,1,0,0,0,0.0,0.0,0.0,0.0,87047120,87047120
0x44a8e81138364637cf8404953f1fd34fbf53696f,16,1,0,3,0.0,0.1875,0.0625,12.8539,86940461,88982972
0x44ff08dc91b7b3c7309e8670981eb3a66dc2213e,5,0,0,0,0.0,0.0,0.0,8.0,88269262,88868142
0x4518bd4fdaab00f6c553cf3b0a0e454af2b96072,6,1,0,0,0.0,0.0,0.166667,-3.4845,86936128,88645882
0x45d869d18fc77159fa1d0c27ab20f576304d57c6,10,0,0,0,0.0,0.0,0.0,10.7004,87268674,88864474
0x46079f84a21d0a7e597a826090262b83728cbafc,1,0,0,0,0.0,0.0,0.0,0.0,87230744,87230744
0x4612adf5117c291e290149e88e354de39ea73b69,1,0,0,0,0.0,0.0,0.0,0.0,88277916,88277916
0x46236a032136f7ea941f12aab031b1df726c7d70,1,0,0,0,0.0,0.0,0.0,0.0,87317404,87317404
0x462b0877c770cc8c15130953e8c8e86ab11dee1a,2,0,0,0,0.0,0.0,0.0,0.0,87224942,87412765
0x46cb755838659f5157c58f4f061deabb7521f76e,1,0,0,0,0.0,0.0,0.0,0.0,86944751,86944751
0x46f3554d87e1bfaaad093de887aec751958c6b3b,3,0,0,0,0.0,0.0,0.0,4.0,87057086,88794346
0x477761f902a1843db9be960b6f2a395e3a998254,1,0,0,1,0.0,1.0,0.0,42.5244,88076070,88076070
0x47ae16b879bafb7dd0b91f29e4e8c337fc5d2678,58,2,0,7,0.0,0.12069,0.034483,14.4281,86850045,89223201
0x4820b639ec000c024945846b3da2469d3851f87e,7,0,0,0,0.0,0.0,0.0,8.0,86940554,87197085
0x4863988af505f654ba4d5851f49147cad3281c48,2,0,0,0,0.0,0.0,0.0,0.0,86927806,87295678
0x4879ff5e03861bff4b24fe8908c04b705fc08264,1,0,0,0,0.0,0.0,0.0,0.0,87449443,87449443
0x496a946fc8e87337be1a3460d57b0058c58a66f8,1,0,0,0,0.0,0.0,0.0,0.0,89061705,89061705
0x4ac24d1094a8a42a91f75c4425d3bfa33c20bc93,3,0,0,0,0.0,0.0,0.0,4.0,86919091,88805375
0x4b1393030a3fceb03303c4f9896cbf1c6fe7a165,1,1,0,0,0.0,0.0,1.0,-78.7953,86876192,86876192
0x4b23bfb983d6fde6a79ad95d5e3bd11d58905eb4,1,0,0,0,0.0,0.0,0.0,0.0,88177367,88177367
0x4baf9c8c289a59f26b9136726a49777956cc4328,4,0,0,0,0.0,0.0,0.0,7.0968,86759040,87288667
0x4c740f8e22fc51c2b96fe3460b90758fe6ec61aa,19,0,0,1,0.0,0.052632,0.0,14.4012,87051719,89057704
0x4c7da400a220a136202deaeba87ac8aaef22106d,1,0,0,0,0.0,0.0,0.0,0.0,88369437,88369437
0x4cc25be32326573b3a3c2ae58d91fda663b0b0a7,1,0,0,0,0.0,0.0,0.0,0.0,87308793,87308793
0x4d0bdadd59db1030985c0ec9121c0df41d7cbc9d,1,0,0,0,0.0,0.0,0.0,0.0,88859642,88859642
0x4d4a98bc490e892b0a1dd6dfdbc4fe547fcec3bb,1,1,0,0,0.0,0.0,1.0,-78.7362,88452496,88452496
0x4d8128d04966d817e6772fd6376b5d8d6dd24229,8,0,0,0,0.0,0.0,0.0,8.0,86926553,88673614
0x4da228c7c807903f06759f93902ea9452de0de98,3,0,0,0,0.0,0.0,0.0,6.8878,87997565,87998702
0x4e8b0685e0c15ef8c6134eeacc421db7fb36c06d,1,0,0,0,0.0,0.0,0.0,0.0,87242995,87242995
0x4ebbb86ebf51a4d7aa30345a3e58172d0b4e9f28,1,0,0,0,0.0,0.0,0.0,0.0,88382167,88382167
